Number,Name,Position,Age,Height,Weight,College,Team
94,Cameron Jordan,DE,28,76,287,California,Saints
97,Cameron Heyward,DE,28,77,295,Ohio State,Steelers
99,J.J. Watt,DE,28,77,290,Wisconsin,Texans
96,Carlos Dunlap,DE,28,78,280,Florida,Bengals
73,John Jenkins,DT,28,75,327,Georgia,Bears
71,Damion Square,DT,28,74,293,Alabama,Chargers
96,Bennie Logan,DT,28,74,315,LSU,Chiefs
98,Star Lotulelei,DT,28,74,315,Utah,Panthers
99,Kawann Short,DT,28,75,315,Purdue,Panthers
98,Brandon Williams,DT,28,73,340,Missouri Southern State,Ravens
92,Stacy McGee,DT,28,75,341,Oklahoma,Redskins
91,Courtney Upshaw,DT,28,74,272,Alabama,Falcons
97,Malik Jackson,DT,28,77,290,Tennessee,Jaguars
76,Mike Daniels,DT,28,73,310,Iowa,Packers
99,Jurrell Casey,DT,28,73,305,USC,Titans
49,Jamize Olawale,FB,28,73,240,North Texas,Raiders
42,Patrick DiMarco,FB,28,73,234,South Carolina,Bills
64,Eric Kush,G,28,76,317,California (PA),Bears
73,J.R. Sweezy,G,28,77,298,NC State,Buccaneers
64,Jonathan Cooper,G,28,74,308,North Carolina,Cowboys
77,Patrick Omameh,G,28,76,327,Michigan,Jaguars
65,Lane Taylor,G,28,75,324,Oklahoma State,Packers
61,Josh LeRibeus,G,28,74,315,SMU,Saints
64,Josh Kline,G,28,75,300,Kent State,Titans
65,Ron Leary,G,28,75,320,Memphis,Broncos
79,Brandon Brooks,G,28,77,335,Miami (OH),Eagles
62,Don Barclay,G,28,76,305,West Virginia,Lions
70,Kelechi Osemele,G,28,77,330,Iowa State,Raiders
66,David DeCastro,G,28,77,316,Stanford,Steelers
79,Jeff Allen,G,28,76,305,Illinois,Texans
71,Dennis Kelly,G,28,80,321,Purdue,Titans
65,Clint Boling,G,28,77,305,Georgia,Bengals
61,Stefen Wisniewski,G,28,75,305,Penn State,Eagles
77,James Carpenter,G,28,77,321,Alabama,Jets
46,Mark Nzeocha,LB,28,75,240,Wyoming,49ers
54,L.J. Fort,LB,28,73,232,Northern Iowa,Steelers
51,Will Compton,LB,28,73,235,Nebraska,Redskins
58,Kasim Edebali,LB,28,74,253,Boston College,Saints
51,Jamie Collins Sr.,LB,28,75,250,Southern Mississippi,Browns
56,Michael Mauti,LB,28,74,243,Penn State,Saints
98,Vince Williams,LB,28,73,233,Florida State,Steelers
50,Nate Palmer,LB,28,74,248,Illinois State,Titans
54,Brandon Marshall,LB,28,73,250,Nevada,Broncos
54,Lavonte David,LB,28,73,233,Nebraska,Buccaneers
54,Melvin Ingram,LB,28,74,247,South Carolina,Chargers
51,Kyle Wilber,LB,28,76,245,Wake Forest,Cowboys
52,Najee Goode,LB,28,73,244,West Virginia,Eagles
53,Nigel Bradham,LB,28,74,241,Florida State,Eagles
57,Keenan Robinson,LB,28,75,245,Texas,Giants
58,Shea McClellin,LB,28,75,250,Boise State,Patriots
99,Aldon Smith,LB,28,76,265,Missouri,Raiders
26,Mark Barron,LB,28,74,225,Alabama,Rams
53,Zach Brown,LB,28,73,251,North Carolina,Redskins
55,Jonathan Freeny,LB,28,74,255,Rutgers,Saints
59,Emmanuel Lamur,LB,28,76,245,Kansas State,Vikings
51,Malcolm Smith,LB,28,73,225,USC,49ers
58,Von Miller,LB,28,75,250,Texas A&M,Broncos
57,Josh Bynes,LB,28,73,235,Auburn,Cardinals
93,Jabaal Sheard,LB,28,75,265,Pittsburgh,Colts
48,Akeem Ayers,LB,28,75,247,UCLA,Giants
43,Nick Bellore,LB,28,73,250,Central Michigan,Lions
54,Mason Foster,LB,28,73,250,Washington,Redskins
55,Chris Carter,LB,28,73,240,Fresno State,Redskins
50,K.J. Wright,LB,28,76,246,Mississippi State,Seahawks
41,James Winchester,LS,28,75,240,Oklahoma,Chiefs
46,Carson Tinker,LS,28,73,237,Alabama,Jaguars
47,Kevin McDermott,LS,28,77,240,UCLA,Vikings
48,Beau Brinkley,LS,28,76,260,Missouri,Titans
47,Josh Harris,LS,28,73,240,Auburn,
78,Vinston Painter,OT,28,76,318,Virginia Tech,Cardinals
76,Tom Compton,OT,28,77,313,South Dakota,Bears
71,Rick Wagner,OT,28,78,315,Wisconsin,Lions
74,Mike Remmers,OT,28,77,310,Oregon State,Vikings
70,Bobby Massie,OT,28,78,317,Ole Miss,Bears
79,Bradley Sowell,OT,28,79,312,Ole Miss,Bears
77,Cordy Glenn,OT,28,78,345,Georgia,Bills
71,Mitchell Schwartz,OT,28,77,320,California,Chiefs
68,Kelvin Beachum,OT,28,75,308,SMU,Jets
75,Matt Kalil,OT,28,79,315,USC,Panthers
71,Ben Ijalana,OT,28,76,322,Villanova,Jets
75,Bryan Bulaga,OT,28,77,314,Iowa,Packers
4,Ryan Quigley,P,28,74,205,Boston College,Vikings
6,Chris Jones,P,28,73,205,Carson-Newman,Cowboys
3,Brad Nortman,P,28,74,214,Wisconsin,Jaguars
6,Caleb Sturgis,PK,28,69,192,Florida,Eagles
4,Randy Bullock,PK,28,69,214,Texas A&M,Bengals
9,Justin Tucker,PK,28,73,183,Texas,Ravens
7,Blair Walsh,PK,28,70,175,Georgia,Seahawks
4,Ryan Griffin,QB,28,77,210,Tulane,Buccaneers
8,Mike Glennon,QB,28,78,229,NC State,Bears
3,Landry Jones,QB,28,76,225,Oklahoma,Steelers
12,Andrew Luck,QB,28,76,240,Stanford,Colts
6,Austin Davis,QB,28,74,221,Southern Mississippi,Seahawks
5,Tyrod Taylor,QB,28,73,215,Virginia Tech,Bills
7,Blaine Gabbert,QB,28,76,235,Missouri,Cardinals
1,Cam Newton,QB,28,77,245,Auburn,Panthers
43,Fozzy Whittaker,RB,28,70,205,Texas,Panthers
38,Andre Ellington,RB,28,69,199,Clemson,Texans
25,Latavius Murray,RB,28,75,230,UCF,Vikings
39,Travaris Cadet,RB,28,73,210,Appalachian State,Bills
33,Robert Turbin,RB,28,70,216,Utah State,Colts
38,Brandon Bolden,RB,28,71,220,Ole Miss,Patriots
25,Lance Dunbar,RB,28,68,187,North Texas,Rams
34,Shane Vereen,RB,28,70,205,California,Giants
22,Mark Ingram,RB,28,69,215,Alabama,Saints
39,Keith McGill II,S,28,75,210,Utah,Raiders
37,Jahleel Addae,S,28,70,195,Central Michigan,Chargers
38,Cody Davis,S,28,73,203,Texas Tech,Rams
41,Brynden Trawick,S,28,74,225,Troy,Titans
37,Keith Tandy,S,28,70,205,West Virginia,Buccaneers
22,Harrison Smith,S,28,74,214,Notre Dame,Vikings
23,Chris Conte,S,28,74,203,California,Buccaneers
29,Earl Thomas,S,28,70,202,Texas,Seahawks
80,Ifeanyi Momah,TE,28,79,255,Boston College,Cardinals
89,Phillip Supernaw,TE,28,77,255,Ouachita Baptist,Titans
87,Travis Kelce,TE,28,77,260,Cincinnati,Chiefs
48,MarQueis Gray,TE,28,76,263,Minnesota,Dolphins
82,Luke Willson,TE,28,77,254,Rice,Seahawks
84,Ryan Griffin,TE,28,78,255,Connecticut,Texans
84,James Hanna,TE,28,76,260,Oklahoma,Cowboys
85,Charles Clay,TE,28,75,255,Tulsa,Bills
84,Niles Paul,TE,28,73,242,Nebraska,Redskins
82,Kyle Rudolph,TE,28,78,265,Notre Dame,Vikings
87,Rob Gronkowski,TE,28,78,265,Arizona,Patriots
15,Joshua Bellamy,WR,28,73,208,Louisville,Bears
83,Kevin Norwood,WR,28,74,199,Alabama,Giants
13,Charles D. Johnson,WR,28,74,217,Grand Valley State,Panthers
10,Deonte Thompson,WR,28,73,204,Florida,Bills
13,Jaron Brown,WR,28,74,205,Clemson,Cardinals
17,Kamar Aiken,WR,28,74,216,UCF,Colts
19,Brice Butler,WR,28,75,220,San Diego State,Cowboys
83,Terrance Williams,WR,28,74,210,Baylor,Cowboys
11,Terrelle Pryor Sr.,WR,28,76,228,Ohio State,Redskins
13,Kendall Wright,WR,28,70,185,Baylor,Bears
12,Travis Benjamin,WR,28,70,175,Miami,Chargers
13,T.Y. Hilton,WR,28,69,178,Florida Intl,Colts
11,Cole Beasley,WR,28,68,180,SMU,Cowboys
12,Mohamed Sanu,WR,28,74,210,Rutgers,Falcons
83,Brian Quick,WR,28,75,218,Appalachian State,Redskins
18,Rishard Matthews,WR,28,73,217,Nevada,Titans
17,Jarius Wright,WR,28,70,191,Arkansas,Vikings
18,Michael Floyd,WR,28,75,220,Notre Dame,Vikings
11,Julio Jones,WR,28,75,220,Alabama,Falcons
73,Greg Van Roten,C,27,75,305,Pennsylvania,Panthers
60,T.J. Johnson,C,27,76,295,South Carolina,Bengals
76,Wesley Johnson,C,27,77,297,Vanderbilt,Jets
64,Travis Swanson,C,27,77,304,Arkansas,Lions
61,Spencer Long,C,27,77,318,Nebraska,Redskins
65,Senio Kelemete,C,27,75,300,Washington,Saints
42,C.J. Goodwin,CB,27,76,220,California (PA),Cardinals
23,Tyler Patmon,CB,27,70,188,Oklahoma State,Jaguars
27,Darryl Roberts,CB,27,73,182,Marshall,Jets
35,Pierre Desir,CB,27,74,198,Lindenwood,Colts
35,Leon McFadden,CB,27,70,195,San Diego State,Falcons
21,Malcolm Butler,CB,27,71,190,West Alabama,Patriots
38,TJ Carrie,CB,27,73,205,Ohio,Raiders
38,Stanley Jean-Baptiste,CB,27,75,218,Nebraska,Ravens
21,Jamar Taylor,CB,27,71,192,Boise State,Browns
21,Desmond Trufant,CB,27,73,190,Washington,Falcons
23,Darius Slay,CB,27,73,190,Mississippi State,Lions
31,D.J. Hayden,CB,27,71,190,Houston,Lions
21,Kayvon Webster,CB,27,71,192,South Florida,Rams
23,Neiko Thorpe,CB,27,74,210,Auburn,Seahawks
29,Xavier Rhodes,CB,27,73,218,Florida State,Vikings
24,Leonard Johnson,CB,27,70,194,Iowa State,Bills
26,Josh Robinson,CB,27,70,200,UCF,Buccaneers
28,Justin Bethel,CB,27,73,200,Presbyterian College,Cardinals
21,Morris Claiborne,CB,27,71,192,LSU,Jets
24,Stephon Gilmore,CB,27,73,190,South Carolina,Patriots
29,Johnson Bademosi,CB,27,73,206,Stanford,Patriots
35,Brandon Boykin,CB,27,70,173,Georgia,Ravens
20,Jeremy Lane,CB,27,73,190,Northwestern State,Seahawks
21,Patrick Peterson,CB,27,73,203,LSU,Cardinals
24,Sterling Moore,CB,27,70,202,SMU,Saints
25,Brandon Dixon,DB,27,71,203,Northwest Missouri State,Giants
30,Steven Terrell,DB,27,70,197,Texas A&M,Chiefs
23,Darryl Morris,DB,27,70,186,Texas State,Giants
77,Zach Moore,DE,27,78,275,Concordia-St. Paul,Panthers
51,Steven Means,DE,27,75,263,Buffalo,Eagles
95,Dion Jordan,DE,27,78,275,Oregon,Seahawks
92,Zach Kerr,DE,27,74,334,Delaware,Broncos
97,Ed Stinson,DE,27,76,287,Alabama,Jets
96,Denico Autry,DE,27,77,270,Mississippi State,Raiders
--,Don Jones,DE,27,71,195,Arkansas State,49ers
95,Tank Carradine,DE,27,76,270,Florida State,49ers
92,Lavar Edwards,DE,27,76,271,LSU,Browns
58,Datone Jones,DE,27,77,288,UCLA,Cowboys
95,Derek Wolfe,DE,27,77,285,Cincinnati,Broncos
54,Olivier Vernon,DE,27,74,262,Miami,Giants
93,Lawrence Guy,DE,27,76,305,Arizona State,Patriots
64,A.J. Francis,DT,27,77,337,Maryland,Redskins
95,Tenny Palepoi,DT,27,73,298,Utah,Chargers
78,Justin Ellis,DT,27,74,335,Louisiana Tech,Raiders
93,Ethan Westbrooks,DT,27,76,283,West Texas A&M,Rams
89,Chris Jones,DT,27,73,293,Bowling Green,49ers
96,Sealver Siliga,DT,27,74,345,Utah,Buccaneers
91,Quinton Dial,DT,27,77,318,Alabama,Packers
91,Sheldon Richardson,DT,27,75,295,Missouri,Seahawks
91,Fletcher Cox,DT,27,76,310,Mississippi State,Eagles
90,Michael Brockers,DT,27,77,302,LSU,Rams
95,Tyrunn Walker,DT,27,75,310,Tulsa,Rams
94,Corey Liuget,DT,27,74,300,Illinois,Chargers
99,Marcell Dareus,DT,27,75,331,Alabama,Jaguars
40,Derrick Coleman,FB,27,73,233,UCLA,Falcons
40,Tommy Bohanon,FB,27,73,246,Wake Forest,Jaguars
67,Chris Barker,G,27,74,300,Nevada,Browns
65,Anthony Steen,G,27,76,320,Alabama,Dolphins
72,Ryan Groy,G,27,77,320,Wisconsin,Bills
64,Kevin Pamphile,G,27,77,310,Purdue,Buccaneers
70,Zack Martin,G,27,76,315,Notre Dame,Cowboys
71,Xavier Su'a-Filo,G,27,76,310,UCLA,Texans
71,Earl Watford,G,27,75,300,James Madison,Cardinals
73,Joe Looney,G,27,75,315,Wake Forest,Cowboys
68,Austin Pasztor,G,27,79,305,Virginia,Falcons
67,Justin Pugh,G,27,77,311,Syracuse,Giants
70,Kevin Zeitler,G,27,76,315,Wisconsin,Browns
44,Deon Lacey,LB,27,75,235,West Alabama,Bills
50,Freddie Bishop,LB,27,75,255,Western Michigan,Jets
47,James Cowser,LB,27,75,245,Southern Utah,Raiders
57,Howard Jones,LB,27,76,238,Shepherd,Bears
53,Adarius Glanton,LB,27,73,230,Florida Atlantic,Buccaneers
45,Deontae Skinner,LB,27,73,241,Mississippi State,Giants
50,Brock Coyle,LB,27,73,245,Montana,49ers
49,Lamin Barrow,LB,27,73,237,LSU,Dolphins
51,Julian Stanford,LB,27,73,230,Wagner,Jets
93,Trent Murphy,LB,27,78,259,Stanford,Redskins
44,Dewey McDonald,LB,27,73,229,California (PA),Seahawks
51,Kevin Minter,LB,27,73,246,LSU,Bengals
51,John Simon,LB,27,73,250,Ohio State,Colts
52,Barkevious Mingo,LB,27,76,239,LSU,Colts
47,Kiko Alonso,LB,27,75,233,Oregon,Dolphins
53,LaRoy Reynolds,LB,27,73,240,Virginia,Falcons
55,Lerentee McCray,LB,27,75,249,Florida,Jaguars
47,David Bass,LB,27,76,267,Missouri Western,Jets
58,Paul Worrilow,LB,27,73,230,Delaware,Lions
50,Gerald Hodges,LB,27,74,236,Penn State,Saints
51,Manti Te'o,LB,27,73,241,Notre Dame,Saints
52,Terence Garvin,LB,27,75,235,West Virginia,Seahawks
53,Daren Bates,LB,27,71,225,Auburn,Titans
59,Danny Trevathan,LB,27,73,239,Kentucky,Bears
55,Vontaze Burfict,LB,27,73,255,Arizona State,Bengals
55,Chandler Jones,LB,27,77,265,Syracuse,Cardinals
95,Mychal Kendricks,LB,27,73,240,California,Eagles
59,Tahir Whitehead,LB,27,74,241,Temple,Lions
53,Nick Perry,LB,27,75,265,USC,Packers
54,Dont'a Hightower,LB,27,75,265,Alabama,Patriots
54,Bobby Wagner,LB,27,73,245,Utah State,Seahawks
51,Sean Spence,LB,27,71,231,Miami,Steelers
59,Whitney Mercilus,LB,27,76,260,Illinois,Texans
94,Robert Quinn,LB,27,76,250,North Carolina,Rams
42,Casey Kreiter,LS,27,73,250,Iowa,Broncos
47,Charley Hughlett,LS,27,76,248,UCF,Browns
46,Aaron Brewer,LS,27,77,232,San Diego State,Cardinals
93,Deon Simon,NT,27,76,332,Northwestern State,Jets
92,Dontari Poe,NT,27,75,346,Memphis,Falcons
67,Jeremy Vujnovich,OT,27,77,300,Louisiana College,Colts
78,Kadeem Edwards,OT,27,76,315,Tennessee State,Cowboys
70,Bryan Witzmann,OT,27,79,320,South Dakota State,Chiefs
77,Emmett Cleary,OT,27,79,320,Boston College,Lions
77,David Quessenberry,OT,27,77,310,San Jose State,Texans
76,Garry Gilliam,OT,27,77,315,Penn State,49ers
78,Michael Schofield,OT,27,78,301,Michigan,Chargers
61,Nick Becton,OT,27,78,322,Virginia Tech,Giants
79,Jordan Mills,OT,27,77,316,Louisiana Tech,Bills
72,Eric Fisher,OT,27,79,315,Central Michigan,Chiefs
65,Lane Johnson,OT,27,78,317,Oklahoma,Eagles
73,Matt Tobin,OT,27,78,303,Iowa,Seahawks
77,Tyron Smith,OT,27,77,320,USC,Cowboys
6,Colton Schmidt,P,27,71,224,UC Davis,Bills
9,Brad Wing,P,27,75,192,LSU,Giants
5,Tress Way,P,27,73,216,Oklahoma,Redskins
6,Sam Martin,P,27,73,211,Appalachian State,Lions
6,Ryan Allen,P,27,74,220,Louisiana Tech,Patriots
6,Johnny Hekker,P,27,77,241,Oregon State,Rams
2,Giorgio Tavecchio,PK,27,70,180,California,Raiders
4,Josh Lambo,PK,27,73,215,Texas A&M,Jaguars
3,Dustin Hopkins,PK,27,74,203,Florida State,Redskins
5,AJ McCarron,QB,27,75,215,Alabama,Bengals
9,David Fales,QB,27,74,212,San Jose State,Dolphins
3,Tom Savage,QB,27,76,230,Pittsburgh,Texans
17,Brock Osweiler,QB,27,79,240,Arizona State,Broncos
9,Matt Barkley,QB,27,74,227,USC,Cardinals
3,Geno Smith,QB,27,75,221,West Virginia,Giants
3,EJ Manuel,QB,27,76,237,Florida State,Raiders
7,Taysom Hill,QB,27,74,221,BYU,Saints
36,George Winn,RB,27,71,215,Cincinnati,Colts
34,Cameron Artis-Payne,RB,27,70,215,Auburn,Panthers
28,Carlos Hyde,RB,27,73,235,Ohio State,49ers
34,Charles Sims,RB,27,73,211,West Virginia,Buccaneers
38,Kenjon Barner,RB,27,69,195,Oregon,Eagles
28,Terrance West,RB,27,70,225,Towson,Ravens
25,Chris Thompson,RB,27,68,191,Florida State,Redskins
33,Fitzgerald Toussaint,RB,27,69,204,Michigan,Steelers
30,Benny Cunningham,RB,27,70,218,Middle Tennessee,Bears
38,Christine Michael,RB,27,70,221,Texas A&M,Colts
34,Rex Burkhead,RB,27,70,210,Nebraska,Patriots
35,Mike Gillislee,RB,27,71,219,Florida,Patriots
42,Zach Line,RB,27,73,233,SMU,Saints
27,Eddie Lacy,RB,27,71,250,Alabama,Seahawks
22,Jordan Todman,RB,27,70,200,Connecticut,Texans
33,Dion Lewis,RB,27,68,195,Pittsburgh,Patriots
32,Jacquizz Rodgers,RB,27,66,205,Oregon State,Buccaneers
41,Erik Harris,S,27,75,225,California (PA),Raiders
25,Peyton Thompson,S,27,70,184,San Jose State,Jaguars
49,Daniel Sorensen,S,27,74,208,BYU,Chiefs
20,Lamarcus Joyner,S,27,68,190,Florida State,Rams
31,Chris Banjo,S,27,70,207,SMU,Saints
23,Micah Hyde,S,27,73,197,Iowa,Bills
22,T.J. McDonald,S,27,74,223,USC,Dolphins
31,Michael Thomas,S,27,71,195,Stanford,Dolphins
30,Duron Harmon,S,27,73,205,Rutgers,Patriots
30,Bradley McDougald,S,27,73,215,Kansas,Seahawks
37,Johnathan Cyprien,S,27,73,223,Florida Intl,Titans
43,George Iloka,S,27,76,225,Boise State,Bengals
23,Rodney McLeod,S,27,70,195,Virginia,Eagles
39,Tashaun Gipson,S,27,71,212,Wyoming,Jaguars
32,Tavon Wilson,S,27,73,212,Illinois,Lions
20,Robert Golden,S,27,71,202,Arizona,Steelers
89,Matt Lengel,TE,27,79,266,Eastern Kentucky,Browns
82,Orson Charles,TE,27,75,247,Georgia,Chiefs
89,Ryan Hewitt,TE,27,76,255,Stanford,Bengals
85,Tyler Eifert,TE,27,78,255,Notre Dame,Bengals
84,Jack Doyle,TE,27,78,262,Western Kentucky,Colts
86,Zach Ertz,TE,27,77,250,Stanford,Eagles
81,Mychal Rivera,TE,27,75,245,Tennessee,Jaguars
12,Chris Gragg,TE,27,75,244,Arkansas,Jets
86,Derek Carrier,TE,27,76,244,Beloit College,Rams
86,Jordan Reed,TE,27,74,246,Florida,Redskins
89,Josh Hill,TE,27,77,250,Idaho State,Saints
89,Vance McDonald,TE,27,76,267,Rice,Steelers
83,Dwayne Allen,TE,27,75,265,Clemson,Patriots
17,Cobi Hamilton,WR,27,74,201,Arkansas,Texans
12,Tavarres King,WR,27,73,192,Georgia,Giants
12,John Brown,WR,27,71,179,Pittsburg State,Cardinals
15,Nick Williams,WR,27,70,184,Connecticut,Falcons
11,Brenton Bersin,WR,27,75,210,Wofford,Panthers
12,Michael Campanaro,WR,27,69,191,Wake Forest,Ravens
14,Ryan Grant,WR,27,73,204,Tulane,Redskins
19,Adam Thielen,WR,27,74,200,Minnesota State,Vikings
11,Marquise Goodwin,WR,27,69,179,Texas,49ers
19,Russell Shepard,WR,27,73,195,LSU,Panthers
11,Tavon Austin,WR,27,68,179,West Virginia,Rams
17,Alshon Jeffery,WR,27,75,218,South Carolina,Eagles
10,Jermaine Kearse,WR,27,73,209,Washington,Jets
11,Marvin Jones Jr.,WR,27,74,198,California,Lions
18,Randall Cobb,WR,27,70,192,Kentucky,Packers
75,Jon Halapio,C,26,75,315,Florida,Giants
54,Dillon Day,C,26,76,299,Mississippi State,Packers
69,Tyler Larsen,C,26,76,325,Utah,Panthers
67,B.J. Finney,C,26,76,318,Kansas State,Steelers
55,Hroniss Grasu,C,26,75,301,Oregon,Bears
69,Brett Jones,C,26,74,312,University of Regina,Giants
70,Weston Richburg,C,26,76,300,Colorado State,Giants
65,Brandon Linder,C,26,78,315,Miami,Jaguars
78,Jonotthan Harrison,C,26,76,300,Florida,Jets
63,Corey Linsley,C,26,75,301,Ohio State,Packers
68,Justin Britt,C,26,78,315,Missouri,Seahawks
74,Chris Hubbard,C,26,76,295,UAB,Steelers
64,JC Tretter,C,26,76,307,Cornell,Browns
72,Travis Frederick,C,26,76,320,Wisconsin,Cowboys
61,Luke Bowanko,C,26,78,300,Virginia,Ravens
62,Brian Schwenke,C,26,75,318,California,Titans
29,Ronald Zamort,CB,26,70,174,Western Michigan,Cardinals
32,Troy Hill,CB,26,71,184,Oregon,Rams
37,Greg Ducre,CB,26,70,183,Washington,Steelers
24,K'Waun Williams,CB,26,69,183,Pittsburgh,49ers
37,Bryce Callahan,CB,26,69,188,Rice,Bears
40,Keith Reaser,CB,26,73,190,Florida Atlantic,Chiefs
23,Dexter McDonald,CB,26,73,200,Kansas,Raiders
25,Jimmie Ward,CB,26,71,193,Northern Illinois,49ers
36,Dontae Johnson,CB,26,74,200,NC State,49ers
21,Darqueze Dennard,CB,26,71,205,Michigan State,Bengals
22,Jason Verrett,CB,26,70,188,TCU,Chargers
23,Phillip Gaines,CB,26,73,193,Rice,Chiefs
23,Bene Benwikere,CB,26,73,195,San Jose State,Cowboys
37,Ross Cockrell,CB,26,73,191,Duke,Giants
22,Aaron Colvin,CB,26,73,193,Oklahoma,Jaguars
24,Nevin Lawson,CB,26,69,192,Utah State,Lions
26,Bashaud Breeland,CB,26,71,195,Clemson,Redskins
40,Marcus Williams,CB,26,71,196,North Dakota State,Texans
21,A.J. Bouye,CB,26,73,191,UCF,Jaguars
29,David Amerson,CB,26,73,205,NC State,Raiders
23,Nickell Robey-Coleman,CB,26,68,178,USC,Rams
26,Logan Ryan,CB,26,71,195,Rutgers,Titans
44,Donatello Brown,CB,26,73,190,Valdosta State,Packers
96,Martin Ifedi,DE,26,75,275,Memphis,Falcons
61,Kerry Hyder,DE,26,74,270,Texas Tech,Lions
92,Bronson Kaufusi,DE,26,78,285,BYU,Ravens
96,Shelby Harris,DE,26,74,290,Illinois State,Broncos
98,Jamie Meder,DE,26,75,308,Ashland,Browns
95,Ryan Russell,DE,26,77,275,Purdue,Buccaneers
40,Chris McCain,DE,26,77,236,California,Chargers
75,Xavier Cooper,DE,26,76,300,Washington State,Jets
51,Brandon Copeland,DE,26,75,263,Pennsylvania,Lions
96,Matt Longacre,DE,26,75,255,Northwest Missouri State,Rams
94,Will Clarke,DE,26,78,275,West Virginia,Buccaneers
78,Terrence Fede,DE,26,76,267,Marist,Dolphins
72,Kerry Wynn,DE,26,77,264,Richmond,Giants
94,Kony Ealy,DE,26,76,275,Missouri,Jets
52,Khalil Mack,DE,26,75,250,Buffalo,Raiders
96,Brent Urban,DE,26,79,300,Virginia,Ravens
90,DaQuan Jones,DE,26,76,322,Penn State,Titans
92,William Gholston,DE,26,78,281,Michigan State,Buccaneers
93,Benson Mayowa,DE,26,75,265,Idaho,Cowboys
57,Alex Okafor,DE,26,76,261,Texas,Saints
72,Olsen Pierre,DT,26,76,293,Miami,Cardinals
96,Kaleb Eulls,DT,26,76,309,Mississippi State,Chargers
99,Robert Thomas,DT,26,73,331,Arkansas,Giants
95,Rodney Gunter,DT,26,77,305,Delaware State,Cardinals
94,Xavier Williams,DT,26,74,309,Northern Iowa,Cardinals
96,Henry Anderson,DT,26,78,301,Stanford,Colts
97,Josh Mauro,DT,26,78,282,Stanford,Cardinals
68,Caraun Reid,DT,26,74,298,Princeton,Colts
94,Beau Allen,DT,26,75,327,Wisconsin,Eagles
98,Mike Pennel,DT,26,76,332,Colorado State-Pueblo,Jets
99,Aaron Donald,DT,26,73,280,Pittsburgh,Rams
98,Garrison Smith,DT,26,73,295,Georgia,Seahawks
93,Shamar Stephen,DT,26,77,310,Connecticut,Vikings
95,Abry Jones,DT,26,76,318,Georgia,Jaguars
97,Akeem Spence,DT,26,73,307,Illinois,Lions
97,Stevie Tu'ikolovatu,DT,26,73,320,USC,Buccaneers
46,Michael Burton,FB,26,73,240,Rutgers,Bears
44,Kyle Juszczyk,FB,26,73,240,Harvard,49ers
67,Michael Liedtke,G,26,75,305,Illinois State,Buccaneers
62,Austin Reiter,G,26,74,300,South Florida,Browns
77,John Fullington,G,26,77,300,Washington State,Saints
76,Max Garcia,G,26,76,309,Florida,Broncos
60,A.J. Cann,G,26,75,325,South Carolina,Jaguars
69,Tyler Shatley,G,26,75,310,Clemson,Jaguars
73,Josh Walker,G,26,77,330,Middle Tennessee,Jaguars
67,Zac Kerin,G,26,76,305,Toledo,Lions
61,David Yankey,G,26,78,315,Stanford,Panthers
75,Brandon Scherff,G,26,77,319,Iowa,Redskins
67,Quinton Spain,G,26,76,330,West Virginia,Titans
77,Billy Turner,G,26,77,310,North Dakota State,Broncos
75,Joel Bitonio,G,26,76,305,Nevada,Browns
73,Zach Fulton,G,26,77,316,Tennessee,Chiefs
76,Laurent Duvernay-Tardif,G,26,77,321,--,Chiefs
70,Dakota Dozier,G,26,76,313,Furman,Jets
68,Andrew Norwell,G,26,78,325,Ohio State,Panthers
66,Gabe Jackson,G,26,75,335,Mississippi State,Raiders
66,Ryan Jensen,G,26,76,319,Colorado State-Pueblo,Ravens
75,Jeremiah Sirles,G,26,78,315,Nebraska,Vikings
67,Chance Warmack,G,26,74,323,Alabama,Eagles
76,D.J. Fluker,G,26,77,345,Alabama,Giants
67,Brian Winters,G,26,76,320,Kent State,Jets
67,Larry Warford,G,26,75,317,Kentucky,Saints
75,Oday Aboushi,G,26,77,315,Virginia,Seahawks
78,Luke Joeckel,G,26,78,307,Texas A&M,Seahawks
53,Edwin Jackson,LB,26,73,234,Georgia Southern,Colts
45,Mike Hull,LB,26,73,232,Penn State,Dolphins
51,Kyler Fackrell,LB,26,77,245,Utah State,Packers
58,Jonathan Anderson,LB,26,75,237,TCU,Bears
44,Markus Golden,LB,26,75,260,Missouri,Cardinals
48,Nick Dzubnar,LB,26,73,240,Cal Poly,Chargers
51,Kyle Emanuel,LB,26,75,250,North Dakota State,Chargers
59,Jeremiah George,LB,26,71,234,Iowa State,Colts
57,Obum Gwacham,LB,26,77,246,Oregon State,Jets
48,Joe Thomas,LB,26,73,227,South Carolina State,Packers
56,Zach Vigil,LB,26,74,238,Utah State,Redskins
58,D.J. Alexander,LB,26,74,233,Oregon State,Seahawks
52,Christian Jones,LB,26,75,245,Florida State,Bears
55,Dee Ford,LB,26,74,252,Auburn,Chiefs
57,Kevin Pierre-Louis,LB,26,73,230,Boston College,Chiefs
52,Jordan Tripp,LB,26,75,234,Montana,Falcons
59,Devon Kennard,LB,26,76,256,USC,Giants
50,Telvin Smith,LB,26,75,215,Florida State,Jaguars
53,Kyle Van Noy,LB,26,75,243,BYU,Patriots
57,Jon Bostic,LB,26,73,245,Florida,Colts
55,Ray-Ray Armstrong,LB,26,75,220,Miami,Giants
